,1,4,8,12,20,28,40,80,160,280
CS1,0.7392214315613227,0.7393889119314254,0.7166042446941323,0.7107734124042501,0.7110617832038476,0.7105425021527864,0.7105425021527864,0.7105425021527864,0.7105425021527864,0.7105425021527864
CS2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CS3,0.9938040110875591,0.9939461526206786,0.9565217391304348,0.8756148071447062,0.9846732215153268,0.6366173597543957,0.6366173597543957,0.6370225815444661,0.6370225815444661,0.6370225815444661
CS4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4399019452791397,0.4399019452791397,0.4399019452791397
CS5,0.4656351205469593,0.4411489228847955,0.3696808510638298,0.32639327024185066,0.26514635806671205,0.26514635806671205,0.26514635806671205,0.1780651015084496,0.10784982935153584,0.10784982935153584
PRL2D,0.9980744544287549,0.9980744544287549,0.9384429692214846,0.8706606942889138,0.7668598199975342,0.75927734375,0.75927734375,0.75927734375,0.75927734375,0.75927734375
LDC2D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4275331338178709,0.4275331338178709
RDC2D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4275331338178709,0.4275331338178709
PRL3D,0.997885535256121,0.997885535256121,0.9198782841378658,0.8612105542296473,0.634765625,0.634765625,0.634765625,0.634765625,0.634765625,0.634765625
LDC3D,1,1,1,1,1,1,1,1,0.0,0.0
RDC3D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24044643453852838,0.24044643453852838
